cluster,ucr_name,period,paper_window_2P,ratio_2P_over_128,samples_per_token_paper,train_len,test_len,anom_len,in_dataset,in_run
ucr_031,DISTORTEDInternalBleeding20,183,366,2.86,11.4,2700,4800,161,1,0
ucr_032,DISTORTEDInternalBleeding4,180,360,2.81,11.2,1000,6321,359,0,0
ucr_033,DISTORTEDInternalBleeding5,175,350,2.73,10.9,4000,3415,171,1,0
ucr_034,DISTORTEDInternalBleeding6,153,306,2.39,9.6,1500,6154,156,0,0
ucr_035,DISTORTEDInternalBleeding8,165,330,2.58,10.3,2500,5001,110,0,0
ucr_036,DISTORTEDInternalBleeding9,175,350,2.73,10.9,4200,3301,83,1,0
ucr_037,DISTORTEDLab2Cmac011215EPG1,35,70,0.55,2.2,5000,25001,51,1,0
ucr_038,DISTORTEDLab2Cmac011215EPG2,35,70,0.55,2.2,5000,24950,71,1,0
ucr_039,DISTORTEDLab2Cmac011215EPG3,35,70,0.55,2.2,5000,24950,31,1,0
ucr_040,DISTORTEDLab2Cmac011215EPG4,32,64,0.5,2.0,6000,24066,131,1,0
ucr_041,DISTORTEDLab2Cmac011215EPG5,32,64,0.5,2.0,7000,22826,131,1,0
ucr_042,DISTORTEDLab2Cmac011215EPG6,32,64,0.5,2.0,7000,22859,231,1,0
ucr_043,DISTORTEDMesoplodonDensirostris,207,414,3.23,12.9,10000,14667,161,1,0
ucr_044,DISTORTEDPowerDemand1,24,48,0.38,1.5,9000,20931,337,1,0
ucr_045,DISTORTEDPowerDemand2,24,48,0.38,1.5,14000,15931,361,1,0
ucr_046,DISTORTEDPowerDemand3,24,48,0.38,1.5,16000,13931,73,1,0
ucr_047,DISTORTEDPowerDemand4,24,48,0.38,1.5,18000,11931,73,1,0
ucr_048,DISTORTEDTkeepFifthMARS,97,194,1.52,6.1,3500,7834,98,1,0
ucr_049,DISTORTEDTkeepFirstMARS,97,194,1.52,6.1,3500,7906,16,1,0
ucr_050,DISTORTEDTkeepForthMARS,97,194,1.52,6.1,3500,7808,98,1,0
ucr_051,DISTORTEDTkeepSecondMARS,97,194,1.52,6.1,3500,7888,11,1,0
ucr_052,DISTORTEDTkeepThirdMARS,97,194,1.52,6.1,3500,7808,99,1,0
ucr_053,DISTORTEDWalkingAceleration1,114,228,1.78,7.1,1500,5184,232,0,0
ucr_054,DISTORTEDWalkingAceleration5,114,228,1.78,7.1,2700,3984,60,1,0
ucr_055,DISTORTEDapneaecg2,94,188,1.47,5.9,10000,28501,151,1,0
ucr_056,DISTORTEDapneaecg3,94,188,1.47,5.9,5000,33379,101,1,0
ucr_057,DISTORTEDapneaecg4,94,188,1.47,5.9,6000,32269,101,1,0
ucr_058,DISTORTEDapneaecg,96,192,1.5,6.0,10000,28501,69,1,0
ucr_059,DISTORTEDgait1,328,656,5.12,20.5,20000,45000,301,1,0
ucr_060,DISTORTEDgait2,328,656,5.12,20.5,22000,43000,301,1,0
ucr_061,DISTORTEDgait3,328,656,5.12,20.5,24500,40500,601,1,0
ucr_062,DISTORTEDgaitHunt1,328,656,5.12,20.5,18500,45500,111,1,0
ucr_063,DISTORTEDgaitHunt2,328,656,5.12,20.5,18500,45500,651,1,0
ucr_064,DISTORTEDgaitHunt3,328,656,5.12,20.5,23400,40600,801,1,0
ucr_065,DISTORTEDinsectEPG1,25,50,0.39,1.6,3000,7001,31,1,0
ucr_066,DISTORTEDinsectEPG2,25,50,0.39,1.6,3700,6298,26,1,0
ucr_067,DISTORTEDinsectEPG3,25,50,0.39,1.6,5200,4798,51,1,0
ucr_068,DISTORTEDinsectEPG4,25,50,0.39,1.6,1300,8698,51,0,0
ucr_069,DISTORTEDinsectEPG5,25,50,0.39,1.6,3200,6828,2,1,0
ucr_070,DISTORTEDltstdbs30791AI,221,442,3.45,13.8,17555,38568,201,1,0
ucr_071,DISTORTEDltstdbs30791AS,221,442,3.45,13.8,23000,32000,201,1,0
ucr_072,DISTORTEDltstdbs30791ES,228,456,3.56,14.2,20000,35000,201,1,0
ucr_073,DISTORTEDpark3m,356,712,5.56,22.2,60000,30000,346,1,0
ucr_074,DISTORTEDqtdbSel1005V,206,412,3.22,12.9,4000,32001,401,1,0
ucr_075,DISTORTEDqtdbSel100MLII,206,412,3.22,12.9,4000,26000,401,1,0
ucr_076,DISTORTEDresperation10,459,918,7.17,28.7,48000,147000,1181,1,0
ucr_077,DISTORTEDresperation11,462,924,7.22,28.9,58000,137000,2,1,0
ucr_078,DISTORTEDresperation1,478,956,7.47,29.9,100000,100000,153,1,0
ucr_079,DISTORTEDresperation2,478,956,7.47,29.9,30000,170051,1,1,0
ucr_080,DISTORTEDresperation2,478,956,7.47,29.9,30000,160050,2,1,0
ucr_081,DISTORTEDresperation3,478,956,7.47,29.9,45000,145100,2,1,0
ucr_082,DISTORTEDresperation4,446,892,6.97,27.9,70000,125250,2,1,0
ucr_083,DISTORTEDresperation9,485,970,7.58,30.3,38000,157000,101,1,0
ucr_084,DISTORTEDs20101mML2,100,200,1.56,6.2,12000,28000,101,1,0
ucr_085,DISTORTEDs20101m,100,200,1.56,6.2,10000,30000,101,1,0
ucr_086,DISTORTEDsddb49,268,536,4.19,16.8,20000,60000,251,1,0
ucr_087,DISTORTEDsel840mECG1,172,344,2.69,10.8,17000,43000,371,1,0
ucr_088,DISTORTEDsel840mECG2,170,340,2.66,10.6,20000,37001,371,1,0
ucr_089,DISTORTEDtiltAPB1,250,500,3.91,15.6,100000,30001,68,1,0
ucr_090,DISTORTEDtiltAPB2,250,500,3.91,15.6,50000,78767,827,1,0
ucr_091,DISTORTEDtiltAPB3,250,500,3.91,15.6,40000,89489,371,1,0
ucr_092,DISTORTEDtiltAPB4,250,500,3.91,15.6,20000,108001,2,1,0
ucr_093,NOISE1sddb40,214,428,3.34,13.4,35000,44795,621,1,0
ucr_094,NOISEBIDMC1,81,162,1.27,5.1,2500,8500,201,0,0
ucr_095,NOISECIMIS44AirTemperature4,24,48,0.38,1.5,4000,4184,49,1,0
ucr_096,NOISEECG4,167,334,2.61,10.4,5000,25000,201,1,0
ucr_097,NOISEGP711MarkerLFM5z3,219,438,3.42,13.7,5000,7000,46,1,0
ucr_098,NOISEInternalBleeding16,181,362,2.83,11.3,1200,6301,13,0,0
ucr_099,NOISEInternalBleeding6,150,300,2.34,9.4,1500,6154,156,0,0
ucr_100,NOISELab2Cmac011215EPG1,34,68,0.53,2.1,5000,25001,51,1,0
ucr_101,NOISELab2Cmac011215EPG4,34,68,0.53,2.1,6000,24066,131,1,0
ucr_102,NOISEMesoplodonDensirostris,204,408,3.19,12.8,10000,14667,161,1,0
ucr_103,NOISETkeepThirdMARS,98,196,1.53,6.1,3500,7808,99,1,0
ucr_104,NOISEapneaecg4,96,192,1.5,6.0,6000,32269,101,1,0
ucr_105,NOISEgait3,323,646,5.05,20.2,24500,40500,601,1,0
ucr_106,NOISEgaitHunt2,350,700,5.47,21.9,18500,45500,651,1,0
ucr_107,NOISEinsectEPG3,25,50,0.39,1.6,5200,4798,51,1,0
ucr_108,NOISEresperation2,464,928,7.25,29.0,30000,170051,1,1,0
ucr_109,1sddb40,214,428,3.34,13.4,35000,44795,621,1,1
ucr_110,2sddb40,214,428,3.34,13.4,35000,45001,301,1,1
ucr_111,3sddb40,214,428,3.34,13.4,35000,45000,301,1,1
ucr_112,BIDMC1,81,162,1.27,5.1,2500,8500,201,0,0
ucr_113,CIMIS44AirTemperature1,23,46,0.36,1.4,4000,4184,2,1,1
ucr_114,CIMIS44AirTemperature2,23,46,0.36,1.4,4000,4184,25,1,1
ucr_115,CIMIS44AirTemperature3,23,46,0.36,1.4,4000,4184,25,1,1
ucr_116,CIMIS44AirTemperature4,23,46,0.36,1.4,4000,4184,49,1,1
ucr_117,CIMIS44AirTemperature5,23,46,0.36,1.4,4000,4184,49,1,1
ucr_118,CIMIS44AirTemperature6,23,46,0.36,1.4,4000,4184,49,1,1
ucr_119,ECG1,94,188,1.47,5.9,10000,20000,301,1,1
ucr_120,ECG2,94,188,1.47,5.9,15000,15000,101,1,1
ucr_121,ECG3,164,328,2.56,10.2,15000,15000,101,1,0
ucr_122,ECG3,164,328,2.56,10.2,8000,22000,101,1,1
ucr_123,ECG4,475,950,7.42,29.7,5000,195000,301,1,0
ucr_124,ECG4,166,332,2.59,10.4,5000,25000,201,1,1
ucr_125,ECG4,166,332,2.59,10.4,5000,25000,101,1,0
ucr_126,ECG4,166,332,2.59,10.4,8000,22000,101,1,0
ucr_127,GP711MarkerLFM5z1,219,438,3.42,13.7,5000,7000,45,1,1
ucr_128,GP711MarkerLFM5z2,219,438,3.42,13.7,5000,7000,214,1,1
ucr_129,GP711MarkerLFM5z3,219,438,3.42,13.7,5000,7000,46,1,1
ucr_130,GP711MarkerLFM5z4,219,438,3.42,13.7,4000,8000,119,1,1
ucr_131,GP711MarkerLFM5z5,219,438,3.42,13.7,5000,7000,105,1,1
ucr_132,InternalBleeding10,155,310,2.42,9.7,3200,4301,31,1,1
ucr_133,InternalBleeding14,155,310,2.42,9.7,2800,4701,28,1,1
ucr_134,InternalBleeding15,175,350,2.73,10.9,1700,5901,171,0,0
ucr_135,InternalBleeding16,182,364,2.84,11.4,1200,6301,13,0,0
ucr_136,InternalBleeding17,182,364,2.84,11.4,1600,5900,112,0,0
ucr_137,InternalBleeding18,182,364,2.84,11.4,2300,5200,103,0,0
ucr_138,InternalBleeding19,182,364,2.84,11.4,3000,4500,11,1,1
ucr_139,InternalBleeding20,182,364,2.84,11.4,2700,4800,161,1,1
ucr_140,InternalBleeding4,180,360,2.81,11.2,1000,6321,359,0,0
ucr_141,InternalBleeding5,177,354,2.77,11.1,4000,3415,171,1,1
ucr_142,InternalBleeding6,152,304,2.38,9.5,1500,6154,156,0,0
ucr_143,InternalBleeding8,167,334,2.61,10.4,2500,5001,110,0,0
ucr_144,InternalBleeding9,175,350,2.73,10.9,4200,3301,83,1,1
ucr_145,Lab2Cmac011215EPG1,38,76,0.59,2.4,5000,25001,51,1,1
ucr_146,Lab2Cmac011215EPG2,38,76,0.59,2.4,5000,24950,71,1,1
ucr_147,Lab2Cmac011215EPG3,38,76,0.59,2.4,5000,24950,31,1,1
ucr_148,Lab2Cmac011215EPG4,38,76,0.59,2.4,6000,24066,131,1,1
ucr_149,Lab2Cmac011215EPG5,38,76,0.59,2.4,7000,22826,131,1,1
ucr_150,Lab2Cmac011215EPG6,38,76,0.59,2.4,7000,22859,231,1,1
ucr_151,MesoplodonDensirostris,203,406,3.17,12.7,10000,14667,161,1,1
ucr_152,PowerDemand1,25,50,0.39,1.6,9000,20931,337,1,1
ucr_153,PowerDemand2,25,50,0.39,1.6,14000,15931,361,1,1
ucr_154,PowerDemand3,25,50,0.39,1.6,16000,13931,73,1,1
ucr_155,PowerDemand4,25,50,0.39,1.6,18000,11931,73,1,1
ucr_156,TkeepFifthMARS,98,196,1.53,6.1,3500,7834,98,1,1
ucr_157,TkeepFirstMARS,98,196,1.53,6.1,3500,7906,16,1,1
ucr_158,TkeepForthMARS,98,196,1.53,6.1,3500,7808,98,1,1
ucr_159,TkeepSecondMARS,98,196,1.53,6.1,3500,7888,11,1,1
ucr_160,TkeepThirdMARS,98,196,1.53,6.1,3500,7808,99,1,1
ucr_161,WalkingAceleration1,113,226,1.77,7.1,1500,5184,232,0,0
ucr_162,WalkingAceleration5,113,226,1.77,7.1,2700,3984,60,1,1
ucr_163,apneaecg2,95,190,1.48,5.9,10000,28501,151,1,1
ucr_164,apneaecg3,95,190,1.48,5.9,5000,33379,101,1,1
ucr_165,apneaecg4,95,190,1.48,5.9,6000,32269,101,1,1
ucr_166,apneaecg,95,190,1.48,5.9,10000,28501,69,1,1
ucr_167,gait1,319,638,4.98,19.9,20000,45000,301,1,1
ucr_168,gait2,319,638,4.98,19.9,22000,43000,301,1,1
ucr_169,gait3,319,638,4.98,19.9,24500,40500,601,1,1
ucr_170,gaitHunt1,337,674,5.27,21.1,18500,45500,111,1,1
ucr_171,gaitHunt2,337,674,5.27,21.1,18500,45500,651,1,1
ucr_172,gaitHunt3,337,674,5.27,21.1,23400,40600,801,1,1
ucr_173,insectEPG1,26,52,0.41,1.6,3000,7001,31,1,1
ucr_174,insectEPG2,26,52,0.41,1.6,3700,6298,26,1,1
ucr_175,insectEPG3,26,52,0.41,1.6,5200,4798,51,1,1
ucr_176,insectEPG4,26,52,0.41,1.6,1300,8698,51,0,0
ucr_177,insectEPG5,26,52,0.41,1.6,3200,6828,2,1,1
ucr_178,ltstdbs30791AI,224,448,3.5,14.0,17555,38568,201,1,1
ucr_179,ltstdbs30791AS,224,448,3.5,14.0,23000,32000,201,1,1
ucr_180,ltstdbs30791ES,223,446,3.48,13.9,20000,35000,201,1,1
ucr_181,park3m,355,710,5.55,22.2,60000,30000,346,1,0
ucr_182,qtdbSel1005V,205,410,3.2,12.8,4000,32001,401,1,1
ucr_183,qtdbSel100MLII,183,366,2.86,11.4,4000,26000,401,1,1
ucr_184,resperation10,470,940,7.34,29.4,48000,147000,1181,1,1
ucr_185,resperation11,475,950,7.42,29.7,58000,137000,2,1,0
ucr_186,resperation1,475,950,7.42,29.7,100000,100000,153,1,0
ucr_187,resperation2,475,950,7.42,29.7,30000,170051,1,1,0
ucr_188,resperation2,475,950,7.42,29.7,30000,160050,2,1,1
ucr_189,resperation3,475,950,7.42,29.7,45000,145100,2,1,1
ucr_190,resperation4,475,950,7.42,29.7,70000,125250,2,1,0
ucr_191,resperation9,475,950,7.42,29.7,38000,157000,101,1,1
ucr_192,s20101mML2,99,198,1.55,6.2,12000,28000,101,1,1
ucr_193,s20101m,99,198,1.55,6.2,10000,30000,101,1,1
ucr_194,sddb49,274,548,4.28,17.1,20000,60000,251,1,1
ucr_195,sel840mECG1,165,330,2.58,10.3,17000,43000,371,1,1
ucr_196,sel840mECG2,171,342,2.67,10.7,20000,37001,371,1,1
ucr_197,tiltAPB1,248,496,3.88,15.5,100000,30001,68,1,0
ucr_198,tiltAPB2,248,496,3.88,15.5,50000,78767,827,1,1
ucr_199,tiltAPB3,248,496,3.88,15.5,40000,89489,371,1,1
ucr_200,tiltAPB4,248,496,3.88,15.5,20000,108001,2,1,1
ucr_201,CHARISfive,32,64,0.5,2.0,10000,31347,16,1,0
ucr_202,CHARISfive,31,62,0.48,1.9,10411,31379,31,1,0
ucr_203,CHARISfive,32,64,0.5,2.0,10500,31112,34,1,0
ucr_204,CHARISfive,32,64,0.5,2.0,12412,29587,71,1,0
ucr_205,CHARISfive,32,64,0.5,2.0,9812,30058,91,1,1
ucr_206,CHARISten,36,72,0.56,2.2,25130,16870,61,1,0
ucr_207,CHARISten,39,78,0.61,2.4,3165,36705,61,1,1
ucr_208,CHARISten,37,74,0.58,2.3,5130,35740,61,1,0
ucr_209,Fantasia,269,538,4.2,16.8,19000,73000,301,1,1
ucr_210,Italianpowerdemand,97,194,1.52,6.1,36123,83696,97,1,0
ucr_211,Italianpowerdemand,97,194,1.52,6.1,38113,81467,97,1,0
ucr_212,Italianpowerdemand,25,50,0.39,1.6,8913,21018,25,1,1
ucr_213,STAFFIIIDatabase,878,1756,13.72,54.9,33211,266789,451,1,1
ucr_214,STAFFIIIDatabase,888,1776,13.88,55.5,34211,265479,651,1,0
ucr_215,STAFFIIIDatabase,851,1702,13.3,53.2,36276,263714,651,1,0
ucr_216,STAFFIIIDatabase,883,1766,13.8,55.2,37216,262674,651,1,0
ucr_217,STAFFIIIDatabase,891,1782,13.92,55.7,38211,261479,651,1,0
ucr_218,STAFFIIIDatabase,871,1742,13.61,54.4,41117,258823,651,1,0
ucr_219,STAFFIIIDatabase,872,1744,13.62,54.5,41612,258228,221,1,0
ucr_220,STAFFIIIDatabase,867,1734,13.55,54.2,43217,256573,651,1,0
ucr_221,STAFFIIIDatabase,891,1782,13.92,55.7,45616,252724,1221,1,0
ucr_222,mit14046longtermecg,101,202,1.58,6.3,56123,155379,501,1,1
ucr_223,mit14046longtermecg,98,196,1.53,6.1,74123,106263,501,1,0
ucr_224,mit14046longtermecg,98,196,1.53,6.1,76123,123630,501,1,0
ucr_225,mit14046longtermecg,105,210,1.64,6.6,81214,118785,301,1,0
ucr_226,mit14046longtermecg,105,210,1.64,6.6,96123,93878,301,1,0
ucr_227,mit14134longtermecg,230,460,3.59,14.4,11231,48071,101,1,0
ucr_228,mit14134longtermecg,141,282,2.2,8.8,11361,47639,21,1,0
ucr_229,mit14134longtermecg,127,254,1.98,7.9,16363,42637,11,1,0
ucr_230,mit14134longtermecg,134,268,2.09,8.4,19363,39637,101,1,0
ucr_231,mit14134longtermecg,123,246,1.92,7.7,8763,50237,261,1,1
ucr_232,mit14134longtermecg,123,246,1.92,7.7,8763,50237,261,1,0
ucr_233,mit14157longtermecg,109,218,1.7,6.8,18913,73797,2,1,1
ucr_234,mit14157longtermecg,119,238,1.86,7.4,18913,79797,2,1,0
ucr_235,mit14157longtermecg,116,232,1.81,7.2,18913,78387,2,1,0
ucr_236,mit14157longtermecg,114,228,1.78,7.1,19313,77687,41,1,0
ucr_237,mit14157longtermecg,105,210,1.64,6.6,19313,77687,811,1,0
ucr_238,mit14157longtermecg,111,222,1.73,6.9,21311,77689,181,1,0
ucr_239,taichidbS0715Master,1496,2992,23.38,93.5,190037,707630,65,1,0
ucr_240,taichidbS0715Master,1514,3028,23.66,94.6,240030,659970,101,1,0
ucr_241,taichidbS0715Master,1496,2992,23.38,93.5,250000,650000,1701,1,0
ucr_242,tilt12744mtable,223,446,3.48,13.9,100000,186667,261,1,0
ucr_243,tilt12744mtable,223,446,3.48,13.9,100000,150001,46,1,0
ucr_244,tilt12754table,162,324,2.53,10.1,100013,200249,261,1,0
ucr_245,tilt12754table,166,332,2.59,10.4,100211,198536,271,1,0
ucr_246,tilt12755mtable,221,442,3.45,13.8,100211,199656,271,1,0
ucr_247,tilt12755mtable,221,442,3.45,13.8,50211,149789,81,1,1
ucr_248,weallwalk,27,54,0.42,1.7,2000,6432,6,0,0
ucr_249,weallwalk,26,52,0.41,1.6,2753,7771,31,1,1
ucr_250,weallwalk,25,50,0.39,1.6,2951,7517,7,1,0
