cluster,ucr_name,in_run,period,paper_window_2P,our_window,ratio_2P_over_128,train_total,p0_train,test_len,anom_points,samples_per_token_paper,samples_per_token_ours
ucr_072,DISTORTEDltstdbs30791ES,0,228,456,128,3.56,18000,2000,35000,201,14.2,4.0
ucr_073,DISTORTEDpark3m,0,356,712,128,5.56,54000,6000,30000,346,22.2,4.0
ucr_074,DISTORTEDqtdbSel1005V,0,206,412,128,3.22,3600,400,32001,401,12.9,4.0
ucr_075,DISTORTEDqtdbSel100MLII,0,206,412,128,3.22,3600,400,26000,401,12.9,4.0
ucr_076,DISTORTEDresperation10,0,459,918,128,7.17,43200,4800,147000,1181,28.7,4.0
ucr_077,DISTORTEDresperation11,0,462,924,128,7.22,52200,5800,137000,2,28.9,4.0
ucr_078,DISTORTEDresperation1,0,478,956,128,7.47,90000,10000,100000,153,29.9,4.0
ucr_079,DISTORTEDresperation2,0,478,956,128,7.47,27000,3000,170051,1,29.9,4.0
ucr_080,DISTORTEDresperation2,0,478,956,128,7.47,27000,3000,160050,2,29.9,4.0
ucr_081,DISTORTEDresperation3,0,478,956,128,7.47,40500,4500,145100,2,29.9,4.0
ucr_082,DISTORTEDresperation4,0,446,892,128,6.97,63000,7000,125250,2,27.9,4.0
ucr_083,DISTORTEDresperation9,0,485,970,128,7.58,34200,3800,157000,101,30.3,4.0
ucr_084,DISTORTEDs20101mML2,0,100,200,128,1.56,10800,1200,28000,101,6.2,4.0
ucr_085,DISTORTEDs20101m,0,100,200,128,1.56,9000,1000,30000,101,6.2,4.0
ucr_086,DISTORTEDsddb49,0,268,536,128,4.19,18000,2000,60000,251,16.8,4.0
ucr_087,DISTORTEDsel840mECG1,0,172,344,128,2.69,15300,1700,43000,371,10.8,4.0
ucr_088,DISTORTEDsel840mECG2,0,170,340,128,2.66,18000,2000,37001,371,10.6,4.0
ucr_089,DISTORTEDtiltAPB1,0,250,500,128,3.91,90000,10000,30001,68,15.6,4.0
ucr_090,DISTORTEDtiltAPB2,0,250,500,128,3.91,45000,5000,78767,827,15.6,4.0
ucr_091,DISTORTEDtiltAPB3,0,250,500,128,3.91,36000,4000,89489,371,15.6,4.0
ucr_092,DISTORTEDtiltAPB4,0,250,500,128,3.91,18000,2000,108001,2,15.6,4.0
ucr_093,NOISE1sddb40,0,214,428,128,3.34,31500,3500,44795,621,13.4,4.0
ucr_095,NOISECIMIS44AirTemperature4,0,24,48,128,0.38,3600,400,4184,49,1.5,4.0
ucr_096,NOISEECG4,0,167,334,128,2.61,4500,500,25000,201,10.4,4.0
ucr_097,NOISEGP711MarkerLFM5z3,0,219,438,128,3.42,4500,500,7000,46,13.7,4.0
ucr_100,NOISELab2Cmac011215EPG1,0,34,68,128,0.53,4500,500,25001,51,2.1,4.0
ucr_101,NOISELab2Cmac011215EPG4,0,34,68,128,0.53,5400,600,24066,131,2.1,4.0
ucr_102,NOISEMesoplodonDensirostris,0,204,408,128,3.19,9000,1000,14667,161,12.8,4.0
ucr_103,NOISETkeepThirdMARS,0,98,196,128,1.53,3150,350,7808,99,6.1,4.0
ucr_104,NOISEapneaecg4,0,96,192,128,1.5,5400,600,32269,101,6.0,4.0
ucr_105,NOISEgait3,0,323,646,128,5.05,22050,2450,40500,601,20.2,4.0
ucr_106,NOISEgaitHunt2,0,350,700,128,5.47,16650,1850,45500,651,21.9,4.0
ucr_107,NOISEinsectEPG3,0,25,50,128,0.39,4680,520,4798,51,1.6,4.0
ucr_108,NOISEresperation2,0,464,928,128,7.25,27000,3000,170051,1,29.0,4.0
ucr_109,1sddb40,1,214,428,128,3.34,31500,3500,44795,621,13.4,4.0
ucr_110,2sddb40,1,214,428,128,3.34,31500,3500,45001,301,13.4,4.0
ucr_111,3sddb40,1,214,428,128,3.34,31500,3500,45000,301,13.4,4.0
ucr_113,CIMIS44AirTemperature1,1,23,46,128,0.36,3600,400,4184,2,1.4,4.0
ucr_114,CIMIS44AirTemperature2,1,23,46,128,0.36,3600,400,4184,25,1.4,4.0
ucr_115,CIMIS44AirTemperature3,1,23,46,128,0.36,3600,400,4184,25,1.4,4.0
ucr_116,CIMIS44AirTemperature4,1,23,46,128,0.36,3600,400,4184,49,1.4,4.0
ucr_117,CIMIS44AirTemperature5,1,23,46,128,0.36,3600,400,4184,49,1.4,4.0
ucr_118,CIMIS44AirTemperature6,1,23,46,128,0.36,3600,400,4184,49,1.4,4.0
ucr_119,ECG1,1,94,188,128,1.47,9000,1000,20000,301,5.9,4.0
ucr_120,ECG2,1,94,188,128,1.47,13500,1500,15000,101,5.9,4.0
ucr_121,ECG3,0,164,328,128,2.56,13500,1500,15000,101,10.2,4.0
ucr_122,ECG3,1,164,328,128,2.56,7200,800,22000,101,10.2,4.0
ucr_123,ECG4,0,475,950,128,7.42,4500,500,195000,301,29.7,4.0
ucr_124,ECG4,1,166,332,128,2.59,4500,500,25000,201,10.4,4.0
ucr_125,ECG4,0,166,332,128,2.59,4500,500,25000,101,10.4,4.0
ucr_126,ECG4,0,166,332,128,2.59,7200,800,22000,101,10.4,4.0
ucr_127,GP711MarkerLFM5z1,1,219,438,128,3.42,4500,500,7000,45,13.7,4.0
ucr_128,GP711MarkerLFM5z2,1,219,438,128,3.42,4500,500,7000,214,13.7,4.0
ucr_129,GP711MarkerLFM5z3,1,219,438,128,3.42,4500,500,7000,46,13.7,4.0
ucr_130,GP711MarkerLFM5z4,1,219,438,128,3.42,3600,400,8000,119,13.7,4.0
ucr_131,GP711MarkerLFM5z5,1,219,438,128,3.42,4500,500,7000,105,13.7,4.0
ucr_132,InternalBleeding10,1,155,310,128,2.42,2880,320,4301,31,9.7,4.0
ucr_133,InternalBleeding14,1,155,310,128,2.42,2520,280,4701,28,9.7,4.0
ucr_138,InternalBleeding19,1,182,364,128,2.84,2700,300,4500,11,11.4,4.0
ucr_139,InternalBleeding20,1,182,364,128,2.84,2430,270,4800,161,11.4,4.0
ucr_141,InternalBleeding5,1,177,354,128,2.77,3600,400,3415,171,11.1,4.0
ucr_144,InternalBleeding9,1,175,350,128,2.73,3780,420,3301,83,10.9,4.0
ucr_145,Lab2Cmac011215EPG1,1,38,76,128,0.59,4500,500,25001,51,2.4,4.0
ucr_146,Lab2Cmac011215EPG2,1,38,76,128,0.59,4500,500,24950,71,2.4,4.0
ucr_147,Lab2Cmac011215EPG3,1,38,76,128,0.59,4500,500,24950,31,2.4,4.0
ucr_148,Lab2Cmac011215EPG4,1,38,76,128,0.59,5400,600,24066,131,2.4,4.0
ucr_149,Lab2Cmac011215EPG5,1,38,76,128,0.59,6300,700,22826,131,2.4,4.0
ucr_150,Lab2Cmac011215EPG6,1,38,76,128,0.59,6300,700,22859,231,2.4,4.0
ucr_151,MesoplodonDensirostris,1,203,406,128,3.17,9000,1000,14667,161,12.7,4.0
ucr_152,PowerDemand1,1,25,50,128,0.39,8100,900,20931,337,1.6,4.0
ucr_153,PowerDemand2,1,25,50,128,0.39,12600,1400,15931,361,1.6,4.0
ucr_154,PowerDemand3,1,25,50,128,0.39,14400,1600,13931,73,1.6,4.0
ucr_155,PowerDemand4,1,25,50,128,0.39,16200,1800,11931,73,1.6,4.0
ucr_156,TkeepFifthMARS,1,98,196,128,1.53,3150,350,7834,98,6.1,4.0
ucr_157,TkeepFirstMARS,1,98,196,128,1.53,3150,350,7906,16,6.1,4.0
ucr_158,TkeepForthMARS,1,98,196,128,1.53,3150,350,7808,98,6.1,4.0
ucr_159,TkeepSecondMARS,1,98,196,128,1.53,3150,350,7888,11,6.1,4.0
ucr_160,TkeepThirdMARS,1,98,196,128,1.53,3150,350,7808,99,6.1,4.0
ucr_162,WalkingAceleration5,1,113,226,128,1.77,2430,270,3984,60,7.1,4.0
ucr_163,apneaecg2,1,95,190,128,1.48,9000,1000,28501,151,5.9,4.0
ucr_164,apneaecg3,1,95,190,128,1.48,4500,500,33379,101,5.9,4.0
ucr_165,apneaecg4,1,95,190,128,1.48,5400,600,32269,101,5.9,4.0
ucr_166,apneaecg,1,95,190,128,1.48,9000,1000,28501,69,5.9,4.0
ucr_167,gait1,1,319,638,128,4.98,18000,2000,45000,301,19.9,4.0
ucr_168,gait2,1,319,638,128,4.98,19800,2200,43000,301,19.9,4.0
ucr_169,gait3,1,319,638,128,4.98,22050,2450,40500,601,19.9,4.0
ucr_170,gaitHunt1,1,337,674,128,5.27,16650,1850,45500,111,21.1,4.0
ucr_171,gaitHunt2,1,337,674,128,5.27,16650,1850,45500,651,21.1,4.0
ucr_172,gaitHunt3,1,337,674,128,5.27,21060,2340,40600,801,21.1,4.0
ucr_173,insectEPG1,1,26,52,128,0.41,2700,300,7001,31,1.6,4.0
ucr_174,insectEPG2,1,26,52,128,0.41,3330,370,6298,26,1.6,4.0
ucr_175,insectEPG3,1,26,52,128,0.41,4680,520,4798,51,1.6,4.0
ucr_177,insectEPG5,1,26,52,128,0.41,2880,320,6828,2,1.6,4.0
ucr_178,ltstdbs30791AI,1,224,448,128,3.5,15799,1755,38568,201,14.0,4.0
ucr_179,ltstdbs30791AS,1,224,448,128,3.5,20700,2300,32000,201,14.0,4.0
ucr_180,ltstdbs30791ES,1,223,446,128,3.48,18000,2000,35000,201,13.9,4.0
ucr_181,park3m,0,355,710,128,5.55,54000,6000,30000,346,22.2,4.0
ucr_182,qtdbSel1005V,1,205,410,128,3.2,3600,400,32001,401,12.8,4.0
ucr_183,qtdbSel100MLII,1,183,366,128,2.86,3600,400,26000,401,11.4,4.0
ucr_184,resperation10,1,470,940,128,7.34,43200,4800,147000,1181,29.4,4.0
ucr_185,resperation11,0,475,950,128,7.42,52200,5800,137000,2,29.7,4.0
ucr_186,resperation1,0,475,950,128,7.42,90000,10000,100000,153,29.7,4.0
ucr_187,resperation2,0,475,950,128,7.42,27000,3000,170051,1,29.7,4.0
ucr_188,resperation2,1,475,950,128,7.42,27000,3000,160050,2,29.7,4.0
ucr_189,resperation3,1,475,950,128,7.42,40500,4500,145100,2,29.7,4.0
ucr_190,resperation4,0,475,950,128,7.42,63000,7000,125250,2,29.7,4.0
ucr_191,resperation9,1,475,950,128,7.42,34200,3800,157000,101,29.7,4.0
ucr_192,s20101mML2,1,99,198,128,1.55,10800,1200,28000,101,6.2,4.0
ucr_193,s20101m,1,99,198,128,1.55,9000,1000,30000,101,6.2,4.0
ucr_194,sddb49,1,274,548,128,4.28,18000,2000,60000,251,17.1,4.0
ucr_195,sel840mECG1,1,165,330,128,2.58,15300,1700,43000,371,10.3,4.0
ucr_196,sel840mECG2,1,171,342,128,2.67,18000,2000,37001,371,10.7,4.0
ucr_197,tiltAPB1,0,248,496,128,3.88,90000,10000,30001,68,15.5,4.0
ucr_198,tiltAPB2,1,248,496,128,3.88,45000,5000,78767,827,15.5,4.0
ucr_199,tiltAPB3,1,248,496,128,3.88,36000,4000,89489,371,15.5,4.0
ucr_200,tiltAPB4,1,248,496,128,3.88,18000,2000,108001,2,15.5,4.0
ucr_201,CHARISfive,0,32,64,128,0.5,9000,1000,31347,16,2.0,4.0
ucr_202,CHARISfive,0,31,62,128,0.48,9369,1041,31379,31,1.9,4.0
ucr_203,CHARISfive,0,32,64,128,0.5,9450,1050,31112,34,2.0,4.0
ucr_204,CHARISfive,0,32,64,128,0.5,11170,1241,29587,71,2.0,4.0
ucr_205,CHARISfive,1,32,64,128,0.5,8830,981,30058,91,2.0,4.0
ucr_206,CHARISten,0,36,72,128,0.56,22617,2513,16870,61,2.2,4.0
ucr_207,CHARISten,1,39,78,128,0.61,2848,316,36705,61,2.4,4.0
ucr_208,CHARISten,0,37,74,128,0.58,4617,513,35740,61,2.3,4.0
ucr_209,Fantasia,1,269,538,128,4.2,17100,1900,73000,301,16.8,4.0
ucr_210,Italianpowerdemand,0,97,194,128,1.52,32510,3612,83696,97,6.1,4.0
ucr_211,Italianpowerdemand,0,97,194,128,1.52,34301,3811,81467,97,6.1,4.0
ucr_212,Italianpowerdemand,1,25,50,128,0.39,8021,891,21018,25,1.6,4.0
ucr_213,STAFFIIIDatabase,1,878,1756,128,13.72,29889,3321,266789,451,54.9,4.0
ucr_214,STAFFIIIDatabase,0,888,1776,128,13.88,30789,3421,265479,651,55.5,4.0
ucr_215,STAFFIIIDatabase,0,851,1702,128,13.3,32648,3627,263714,651,53.2,4.0
ucr_216,STAFFIIIDatabase,0,883,1766,128,13.8,33494,3721,262674,651,55.2,4.0
ucr_217,STAFFIIIDatabase,0,891,1782,128,13.92,34389,3821,261479,651,55.7,4.0
ucr_218,STAFFIIIDatabase,0,871,1742,128,13.61,37005,4111,258823,651,54.4,4.0
ucr_219,STAFFIIIDatabase,0,872,1744,128,13.62,37450,4161,258228,221,54.5,4.0
ucr_220,STAFFIIIDatabase,0,867,1734,128,13.55,38895,4321,256573,651,54.2,4.0
ucr_221,STAFFIIIDatabase,0,891,1782,128,13.92,41054,4561,252724,1221,55.7,4.0
ucr_222,mit14046longtermecg,1,101,202,128,1.58,50510,5612,155379,501,6.3,4.0
ucr_223,mit14046longtermecg,0,98,196,128,1.53,66710,7412,106263,501,6.1,4.0
ucr_224,mit14046longtermecg,0,98,196,128,1.53,68510,7612,123630,501,6.1,4.0
ucr_225,mit14046longtermecg,0,105,210,128,1.64,73092,8121,118785,301,6.6,4.0
ucr_226,mit14046longtermecg,0,105,210,128,1.64,86510,9612,93878,301,6.6,4.0
ucr_227,mit14134longtermecg,0,230,460,128,3.59,10107,1123,48071,101,14.4,4.0
ucr_228,mit14134longtermecg,0,141,282,128,2.2,10224,1136,47639,21,8.8,4.0
ucr_229,mit14134longtermecg,0,127,254,128,1.98,14726,1636,42637,11,7.9,4.0
ucr_230,mit14134longtermecg,0,134,268,128,2.09,17426,1936,39637,101,8.4,4.0
ucr_231,mit14134longtermecg,1,123,246,128,1.92,7886,876,50237,261,7.7,4.0
ucr_232,mit14134longtermecg,0,123,246,128,1.92,7886,876,50237,261,7.7,4.0
ucr_233,mit14157longtermecg,1,109,218,128,1.7,17021,1891,73797,2,6.8,4.0
ucr_234,mit14157longtermecg,0,119,238,128,1.86,17021,1891,79797,2,7.4,4.0
ucr_235,mit14157longtermecg,0,116,232,128,1.81,17021,1891,78387,2,7.2,4.0
ucr_236,mit14157longtermecg,0,114,228,128,1.78,17381,1931,77687,41,7.1,4.0
ucr_237,mit14157longtermecg,0,105,210,128,1.64,17381,1931,77687,811,6.6,4.0
ucr_238,mit14157longtermecg,0,111,222,128,1.73,19179,2131,77689,181,6.9,4.0
ucr_239,taichidbS0715Master,0,1496,2992,128,23.38,171033,19003,707630,65,93.5,4.0
ucr_240,taichidbS0715Master,0,1514,3028,128,23.66,216027,24003,659970,101,94.6,4.0
ucr_241,taichidbS0715Master,0,1496,2992,128,23.38,225000,25000,650000,1701,93.5,4.0
ucr_242,tilt12744mtable,0,223,446,128,3.48,90000,10000,186667,261,13.9,4.0
ucr_243,tilt12744mtable,0,223,446,128,3.48,90000,10000,150001,46,13.9,4.0
ucr_244,tilt12754table,0,162,324,128,2.53,90011,10001,200249,261,10.1,4.0
ucr_245,tilt12754table,0,166,332,128,2.59,90189,10021,198536,271,10.4,4.0
ucr_246,tilt12755mtable,0,221,442,128,3.45,90189,10021,199656,271,13.8,4.0
ucr_247,tilt12755mtable,1,221,442,128,3.45,45189,5021,149789,81,13.8,4.0
ucr_249,weallwalk,1,26,52,128,0.41,2477,275,7771,31,1.6,4.0
ucr_250,weallwalk,0,25,50,128,0.39,2655,295,7517,7,1.6,4.0
